,country,count,latitude,longitude
0,US,19041,39.390897,-99.066067
1,Aruba,6,12.52111,-69.9683
2,Australia,33,-25.0,134.0
3,Bahamas,9,24.695328,-78.050987
4,Brazil,5,-10.861639,-53.104038
5,Canada,256,56.511018,-105.908203
6,China,1,33.0,100.0
7,Colombia,30,4.5709,-74.2973
8,Cuba,383,21.5218,-77.7812
9,Curacao,16,12.1696,-68.99
10,Czech Republic,4,49.73859,15.335233
11,Dominican Republic,864,18.898577,-70.496437
12,France,7,46.623974,2.462247
13,Germany,44,51.090614,10.382207
14,Ireland,47,53.177616,-8.14161
15,Italy,7,43.524673,12.1605
16,Jamaica,5,18.156088,-77.310661
17,Japan,73,36.652302,138.192093
18,Mexico,145,138.192093,-99.13321
19,Netherlands,11,52.270329,5.614606
20,Nicaragua,15,12.8654,-85.2072
21,Panama,78,8.970743,-79.534454
22,Poland,6,52.121216,19.408318
23,Puerto Rico,302,18.215692,-66.414655
24,Russian Federation,5,65.067703,116.8564
25,South Korea,28,36.635601,127.500603
26,Spain,4,40.93,-3.4
27,Sweden,5,62.835373,16.742456
28,United Kingdom,49,54.0,-2.0
29,Venezuela,462,7.159467,-66.245689
